config,p5_total,p5_easy,p5_medium,p5_hard,p5_ru,p5_en,p5_official15,p5_extended
baseline (MiniLM raw),0.6009913258983891,0.6086956521739131,0.5738993710691824,0.7647058823529411,0.5065104166666666,0.6867612293144207,0.7,0.5951443569553806
bge-m3 raw,0.8382899628252788,0.8478260869565217,0.8514150943396226,0.75,0.8190104166666666,0.8557919621749409,0.6555555555555556,0.8490813648293963
bge-m3 + enriched,0.8327137546468402,0.8913043478260869,0.845125786163522,0.7156862745098039,0.8216145833333334,0.842789598108747,0.7666666666666667,0.8366141732283464
bge-m3 + enriched + HyDE-mix,0.8903345724907064,0.9782608695652174,0.8773584905660378,0.9117647058823529,0.9127604166666666,0.8699763593380615,0.8,0.8956692913385826
+ HyDE-mix + hybrid (w=0.2),0.8816604708798017,0.9782608695652174,0.8679245283018868,0.9019607843137255,0.8971354166666666,0.867612293144208,0.7777777777777778,0.8877952755905512
bge-m3 + enriched + rerank,0.9169764560099132,0.9347826086956522,0.9158805031446541,0.9117647058823529,0.9661458333333334,0.8723404255319149,0.7444444444444444,0.9271653543307087
