config,p5_total,p5_easy,p5_medium,p5_hard,p5_ru,p5_en,p5_official15,p5_synthetic
bge-m3 + enriched,0.8327137546468402,0.8913043478260869,0.845125786163522,0.7156862745098039,0.8216145833333334,0.842789598108747,0.7666666666666667,0.8366141732283464
bge-m3 + enriched + jina-rerank-v2,0.9231722428748451,0.9130434782608695,0.9308176100628931,0.8823529411764706,0.9388020833333334,0.908983451536643,0.7222222222222222,0.9350393700787402
